uniform_date,21_d_MA,raw_sales
5/4/2013,25308.91591,0
5/5/2013,24925.43011,0
5/6/2013,22236.26075,23846.83092
5/7/2013,21707.84251,28104.24777
5/8/2013,21707.84251,51327.50785
5/9/2013,21707.84251,33615.00738
5/10/2013,21680.50287,27489.76615
5/11/2013,21188.62391,0
5/12/2013,22482.58713,0
5/13/2013,22551.29193,17051.06931
5/14/2013,20336.42795,23383.98538
5/15/2013,20336.42795,12060.95654
5/16/2013,20336.42795,24808.70169
5/17/2013,18994.3985,20391.03738
5/18/2013,19263.6167,0
5/19/2013,17403.37709,0
5/20/2013,16932.32279,10541.808
5/21/2013,17462.99982,20536.98823
5/22/2013,17462.99982,31249.08508
5/23/2013,17462.99982,15105.67608
5/24/2013,17787.42062,21850.01346
5/25/2013,19286.45988,0
5/26/2013,20940.77241,0
5/27/2013,20422.90377,0
5/28/2013,20499.32077,32888.048
5/29/2013,20499.32077,18272.48108
5/30/2013,20499.32077,25244.73469
5/31/2013,21740.39616,36919.48869
6/1/2013,22144.5692,0
6/2/2013,21643.71292,0
6/3/2013,22012.58158,22815.77746
6/4/2013,21543.06062,50020.76
6/5/2013,21543.06062,41456.81754
6/6/2013,21543.06062,15606.57438
6/7/2013,22609.26423,21748.90869
6/8/2013,23526.1834,0
6/9/2013,25056.35787,0
6/10/2013,26002.70374,32594.763
6/11/2013,26855.93617,27718.83231
6/12/2013,26855.93617,22349.25415
6/13/2013,26855.93617,21660.18846
6/14/2013,27000.45592,13506.98715
6/15/2013,30745.90623,0
6/16/2013,29855.32527,0
6/17/2013,31340.63845,18945.618
6/18/2013,32914.4044,49180.99638
6/19/2013,32914.4044,45462.50438
6/20/2013,32914.4044,42060.57277
6/21/2013,32166.30614,52080.77269
6/22/2013,32471.33172,0
6/23/2013,32427.2469,0
6/24/2013,31298.91125,25383.78215
6/25/2013,31189.17139,116574.5309
6/26/2013,31189.17139,25631.879
6/27/2013,31189.17139,41999.44685
6/28/2013,37546.15905,49713.51915
6/29/2013,35426.11982,0
6/30/2013,34591.31626,0
7/1/2013,33851.65476,19301.63238
7/2/2013,31821.75578,33138.90223
7/3/2013,31821.75578,21565.90085
7/4/2013,31821.75578,1610.532
7/5/2013,31759.80564,11556.99415
7/6/2013,26416.19212,0
7/7/2013,25642.23707,0
7/8/2013,24554.34311,131904.3988
7/9/2013,26622.70056,11509.52985
7/10/2013,26622.70056,30628.68746
7/11/2013,26622.70056,28917.35685
7/12/2013,27155.3433,16011.02923
7/13/2013,26675.0893,0
7/14/2013,26633.81729,0
7/15/2013,27468.36925,24282.97569
7/16/2013,28111.14833,21622.62931
7/17/2013,28111.14833,11879.29315
7/18/2013,28111.14833,22668.408
7/19/2013,21359.09277,86466.64
7/20/2013,21680.85634,0
7/21/2013,21859.72585,0
7/22/2013,21216.24054,28766.28408
7/23/2013,23395.43215,24605.15808
7/24/2013,23395.43215,20832.529
7/25/2013,23395.43215,16439.87831
7/26/2013,29781.01815,22978.68392
7/27/2013,31768.2816,0
7/28/2013,32540.65914,0
7/29/2013,32383.06336,11925.56562
7/30/2013,28392.41724,17227.02085
7/31/2013,28392.41724,33807.061
8/1/2013,28392.41724,17483.11792
8/2/2013,27857.07108,54733.588
8/3/2013,27383.01961,0
8/4/2013,27075.24807,0
8/5/2013,28419.30679,137749.9269
8/6/2013,29869.69818,56934.772
8/7/2013,29869.69818,25603.84792
8/8/2013,29869.69818,19868.05238
8/9/2013,30783.05091,15555.92792
8/10/2013,31509.26051,0
8/11/2013,31019.07504,0
8/12/2013,31400.32535,19253.59477
8/13/2013,34619.09968,16181.62808
8/14/2013,34619.09968,15363.66554
8/15/2013,34619.09968,40322.76777
8/16/2013,27490.57095,48751.02323
8/17/2013,25400.13881,0
8/18/2013,24786.10832,0
8/19/2013,24353.75296,28155.14115
8/20/2013,24730.79368,30131.20669
8/21/2013,24730.79368,25096.84231
8/22/2013,24730.79368,24257.64254
8/23/2013,23647.73478,111928.7321
8/24/2013,23770.50472,0
8/25/2013,23946.55647,0
8/26/2013,22726.1771,11081.45492
8/27/2013,20581.06335,19789.40069
8/28/2013,20581.06335,14692.99854
8/29/2013,20581.06335,12185.43023
8/30/2013,22104.1087,22255.65154
8/31/2013,21877.44073,0
9/1/2013,21402.36465,0
9/2/2013,21651.12924,8.471230769
9/3/2013,16795.27427,18363.15531
9/4/2013,16795.27427,18491.96985
9/5/2013,16795.27427,18637.56515
9/6/2013,17736.18173,10634.00185
9/7/2013,17510.59527,0
9/8/2013,18227.35368,0
9/9/2013,19569.07775,55218.48554
9/10/2013,19603.1432,26103.49123
9/11/2013,19603.1432,16655.10577
9/12/2013,19603.1432,28677.99785
9/13/2013,22805.88892,25643.92477
9/14/2013,23290.49157,0
9/15/2013,23502.40677,0
9/16/2013,23502.80292,27800.65654
9/17/2013,28182.69327,15780.90285
9/18/2013,28182.69327,27429.24415
9/19/2013,28182.69327,36026.835
9/20/2013,25626.29513,22860.96823
9/21/2013,24772.12988,0
9/22/2013,25624.03055,0
9/23/2013,24953.60946,56918.799
9/24/2013,24586.67485,26974.17177
9/25/2013,24586.67485,22257.53985
9/26/2013,24586.67485,18644.60438
9/27/2013,35947.53379,93792.05346
9/28/2013,37888.79079,0
9/29/2013,37392.98832,0
9/30/2013,36728.17146,9793.257
10/1/2013,36525.64097,10925.63185
10/2/2013,36525.64097,31792.72538
10/3/2013,36525.64097,16765.13085
10/4/2013,34013.65742,19123.77885
10/5/2013,34146.07147,0
10/6/2013,34176.9947,0
10/7/2013,34299.4038,229674.3808
10/8/2013,30969.21091,50275.54646
10/9/2013,30969.21091,18619.21569
10/10/2013,30969.21091,24213.55092
